neigh_name,total_liv_score,edmonton_rank,cost_of_living_percent,crime_rate,median_income,in_labor_force,unemployment_rate,median_house_val,home_owner_percent,high_school_percent,bach_degree,test_scores,area_pop,pop_dense,med_age,male_to_fem,marri_coup,fam_w_kids
abbottsfield,62,#303,83,"8,956","$54,504",69%,8%,"$203,549",37%,78%,15%,44%,"1,808","3,826",32.5,1.0:1,45%,38%
alberta avenue,65,#292,84,"8,424","$63,728",73%,6%,"$225,742",59%,77%,19%,49%,"7,488","4,362",37.4,0.9:1,52%,37%
aldergrove,74,#135,89,"6,580","$84,202",72%,6%,"$349,359",58%,85%,23%,64%,"5,551","3,798",36.5,1.0:1,67%,47%
allard,81,#54,94,"4,274","$120,570",81%,5%,"$460,281",78%,91%,40%,70%,"4,948","2,334",31.4,0.9:1,70%,55%
allendale,73,#140,92,"6,288","$80,310",80%,7%,"$397,871",47%,91%,35%,75%,"3,282","3,639",32.6,1.0:1,54%,35%
ambleside,79,#65,92,"4,945","$114,134",85%,5%,"$411,244",84%,94%,48%,73%,"5,671","1,518",32.7,1.0:1,76%,50%
aspen gardens,86,#13,101,"2,549","$162,114",68%,3%,"$553,517",94%,94%,56%,83%,"1,854","2,624",44.2,1.0:1,82%,53%
aster,67,#263,90,"5,737","$96,938",67%,3%,"$392,195",86%,90%,35%,74%,31,29,30.1,0.5:1,57%,71%
athlone,70,#226,86,"7,160","$88,111",73%,6%,"$268,506",72%,80%,11%,62%,"3,710","3,012",38.4,0.9:1,59%,43%
avonmore,72,#164,90,"6,272","$92,110",75%,5%,"$351,781",82%,89%,28%,58%,"2,313","2,553",41.5,0.9:1,66%,37%
balwin,67,#283,86,"8,147","$60,844",62%,6%,"$268,539",60%,70%,8%,52%,"4,596","3,184",39.2,0.9:1,54%,35%
bannerman,67,#282,85,"7,654","$78,084",65%,6%,"$253,841",65%,83%,12%,54%,"3,211","4,406",36.1,1.0:1,58%,38%
baranow,73,#160,85,"7,791","$74,861",65%,4%,"$251,526",60%,81%,24%,73%,"2,940","3,384",37.1,1.4:1,65%,44%
baturyn,70,#236,86,"7,190","$85,970",58%,5%,"$273,836",75%,82%,14%,65%,"5,267","3,682",38.1,1.0:1,66%,44%
beacon heights,74,#154,84,"8,169","$68,049",65%,8%,"$236,802",71%,74%,8%,60%,"3,143","2,700",42.4,0.8:1,54%,33%
belle rive,75,#107,91,"4,920","$123,562",65%,3%,"$375,770",90%,79%,18%,64%,"4,222","3,520",41.1,1.0:1,80%,60%
belmead,71,#185,88,"6,706","$83,509",70%,6%,"$338,065",65%,84%,26%,61%,"4,999","3,860",37.6,1.1:1,67%,45%
belmont,67,#273,85,"7,688","$77,761",66%,5%,"$251,318",68%,79%,14%,54%,"5,903","4,562",36.8,1.0:1,64%,41%
belvedere,68,#268,84,"8,768","$55,888",66%,6%,"$219,044",52%,78%,14%,57%,"5,805","3,316",37.8,1.0:1,57%,36%
beverly heights,72,#176,87,"7,729","$65,772",63%,6%,"$295,390",67%,81%,16%,57%,"3,764","2,803",43.2,1.0:1,60%,35%
bisset,71,#190,87,"6,991","$87,692",71%,8%,"$289,164",63%,82%,21%,69%,"4,344","4,598",35.3,1.0:1,74%,52%
blue quill,71,#199,89,"7,041","$77,647",73%,7%,"$324,264",38%,89%,41%,66%,"5,273","5,114",34.1,0.9:1,69%,48%
bonnie doon,72,#142,93,"6,051","$80,391",77%,4%,"$424,117",51%,91%,39%,68%,"5,176","3,467",39.3,1.0:1,63%,36%
brander gardens,73,#137,92,"6,396","$77,045",66%,6%,"$399,061",59%,91%,40%,77%,"2,676","2,481",37.2,1.1:1,66%,39%
britannia youngstown,69,#258,86,"8,416","$55,835",72%,6%,"$258,653",40%,79%,16%,61%,"5,369","3,206",37.8,0.9:1,55%,38%
brookside,82,#39,98,"3,145","$132,331",67%,6%,"$539,116",80%,91%,52%,76%,"2,133","1,845",40.2,1.0:1,79%,50%
bulyea heights,89,#7,98,"2,549","$191,857",66%,3%,"$505,894",94%,93%,48%,83%,"4,138","2,607",47.5,0.9:1,87%,54%
caernarvon,70,#242,85,"7,799","$74,829",67%,5%,"$250,789",73%,82%,18%,63%,"4,502","3,767",36.2,1.0:1,62%,40%
calder,69,#262,84,"8,180","$68,064",71%,8%,"$235,574",56%,80%,10%,54%,"4,333","3,187",39.6,0.9:1,51%,35%
callingwood north,73,#179,83,"8,336","$66,694",78%,6%,"$223,553",47%,89%,28%,63%,"2,616","2,998",35.7,1.0:1,54%,34%
callingwood south,75,#129,83,"8,619","$58,550",69%,6%,"$224,930",23%,83%,21%,74%,"6,391","8,415",33.6,1.0:1,52%,36%
capilano,82,#48,92,"4,596","$125,612",73%,2%,"$403,779",93%,93%,34%,73%,"2,875","2,191",48.0,1.0:1,78%,43%
carlisle,69,#250,87,"7,540","$72,854",68%,7%,"$287,810",60%,77%,14%,62%,"4,118","4,363",34.9,1.0:1,64%,46%
carlton,76,#106,90,"5,522","$112,767",75%,3%,"$352,086",84%,86%,27%,69%,"5,478","4,442",34.1,1.0:1,77%,58%
central mcdougall,71,#227,86,"9,352","$42,918",67%,8%,"$206,177",15%,78%,24%,61%,"5,305","4,779",35.2,0.8:1,56%,36%
chappelle,71,#173,94,"4,230","$122,426",88%,7%,"$457,674",79%,92%,40%,61%,"6,806","1,181",31.6,1.0:1,70%,48%
charlesworth,78,#75,91,"4,995","$113,510",82%,6%,"$408,143",77%,88%,32%,70%,"6,445","2,376",31.8,1.0:1,76%,60%
crawford plains,71,#215,87,"6,603","$99,394",72%,5%,"$285,189",80%,85%,16%,64%,"4,759","4,118",36.2,1.0:1,70%,51%
crestwood,83,#11,108,"2,549","$160,266",71%,1%,"$717,666",81%,89%,47%,73%,"2,755","2,271",46.2,1.1:1,83%,47%
cumberland,73,#153,89,"5,820","$105,363",77%,4%,"$348,765",80%,87%,25%,60%,"7,126","4,629",35.4,1.0:1,75%,57%
daly grove,70,#233,87,"6,905","$90,801",66%,5%,"$286,199",66%,83%,18%,62%,"3,898","4,201",37.0,1.0:1,69%,49%
dechene,77,#82,91,"5,021","$119,461",68%,2%,"$381,137",97%,89%,36%,74%,"1,855","2,595",51.3,1.1:1,83%,52%
delwood,67,#272,86,"7,486","$79,514",71%,7%,"$266,899",77%,74%,11%,54%,"3,730","2,839",43.0,1.0:1,66%,39%
desrochers,75,#95,94,"4,062","$127,144",84%,6%,"$457,377",77%,90%,40%,59%,725,436,31.1,0.9:1,61%,52%
dovercourt,73,#144,87,"7,040","$90,913",78%,5%,"$270,656",67%,83%,20%,69%,"2,251","2,284",40.9,0.9:1,62%,38%
downtown edmonton,72,#187,87,"8,343","$64,164",81%,4%,"$233,113",27%,96%,53%,79%,"14,562","6,146",33.3,0.9:1,51%,12%
duggan,68,#259,88,"6,631","$91,930",69%,5%,"$312,281",69%,88%,37%,60%,"4,783","3,746",37.9,1.0:1,73%,45%
dunluce,70,#224,86,"7,395","$79,479",67%,6%,"$277,197",61%,82%,12%,65%,"6,903","3,086",36.0,1.0:1,60%,42%
edgemont,84,#37,95,"2,687","$162,362",81%,6%,"$468,708",88%,90%,34%,74%,"3,880",763,33.8,1.0:1,77%,55%
ekota,70,#231,87,"7,039","$83,328",66%,8%,"$301,504",66%,83%,20%,62%,"2,804","3,486",36.6,1.0:1,69%,46%
elmwood,71,#198,87,"6,981","$85,475",74%,4%,"$299,328",64%,86%,22%,62%,"2,933","2,858",37.3,1.0:1,62%,39%
empire park,68,#274,84,"8,528","$63,730",74%,5%,"$214,090",15%,91%,33%,63%,"5,808","5,248",29.7,0.9:1,53%,35%
ermineskin,65,#290,87,"7,701","$68,236",58%,4%,"$288,497",31%,88%,33%,51%,"5,995","5,206",39.3,1.1:1,68%,35%
evansdale,69,#254,87,"7,680","$64,973",59%,5%,"$304,085",57%,75%,13%,60%,"5,987","3,740",35.1,1.0:1,65%,43%
forest heights,70,#205,92,"6,202","$80,529",73%,5%,"$406,581",57%,86%,31%,63%,"4,424","2,748",40.9,1.0:1,62%,33%
fraser,76,#110,87,"6,848","$90,950",70%,3%,"$291,953",72%,84%,13%,64%,"4,245","2,697",36.8,1.0:1,66%,46%
fulton place,69,#234,90,"6,083","$97,986",71%,5%,"$349,190",82%,88%,28%,64%,"2,381","2,426",42.5,1.0:1,69%,40%
glengarry,70,#253,85,"8,093","$69,709",67%,7%,"$238,581",72%,80%,12%,60%,"3,257","2,405",41.7,1.0:1,63%,38%
glenora,74,#72,104,"2,549","$126,572",72%,3%,"$653,618",85%,90%,46%,71%,"4,108","1,786",42.2,1.0:1,75%,45%
glenwood,61,#302,86,"8,181","$58,105",71%,5%,"$275,819",48%,80%,17%,59%,"5,813","3,322",41.5,1.0:1,61%,37%
gold bar,69,#238,90,"6,067","$99,526",76%,8%,"$344,679",72%,86%,18%,64%,"2,955","2,760",39.4,1.0:1,63%,41%
grandview heights,83,#12,108,"2,549","$200,000",71%,3%,"$756,476",82%,94%,62%,87%,"1,214","2,187",46.8,1.1:1,89%,51%
granville,84,#40,92,"3,304","$155,132",79%,3%,"$428,826",95%,89%,33%,71%,"2,837","1,883",34.8,0.9:1,79%,61%
greenfield,76,#102,90,"5,680","$109,094",68%,5%,"$349,298",81%,90%,44%,74%,"4,060","2,629",43.4,1.0:1,79%,45%
greenview,80,#73,88,"6,223","$101,251",67%,7%,"$320,241",79%,89%,30%,70%,"3,128","3,219",39.1,1.0:1,73%,46%
griesbach,80,#62,92,"4,827","$118,123",71%,2%,"$408,307",70%,89%,33%,66%,"6,650","2,239",35.2,1.0:1,67%,49%
grovenor,78,#68,94,"5,049","$104,037",74%,5%,"$440,492",69%,87%,34%,68%,"2,678","2,947",40.2,1.1:1,60%,38%
hairsine,67,#281,83,"8,354","$71,104",70%,4%,"$203,756",60%,79%,10%,55%,"2,671","4,055",35.5,1.0:1,51%,39%
hazeldean,69,#245,90,"6,706","$82,620",79%,5%,"$341,681",58%,88%,27%,64%,"3,423","3,114",37.1,0.9:1,54%,36%
high park,67,#277,87,"7,228","$81,195",74%,6%,"$288,981",71%,77%,8%,35%,"1,734","2,459",42.1,0.9:1,61%,36%
highlands,75,#109,91,"5,195","$112,258",74%,4%,"$390,810",80%,89%,38%,62%,"2,854","2,510",43.1,1.0:1,66%,34%
hollick-kenyon,73,#134,90,"5,440","$111,312",75%,5%,"$367,158",79%,84%,21%,62%,"7,264","4,785",34.3,1.0:1,75%,59%
holyrood,71,#174,91,"6,351","$83,108",74%,5%,"$379,498",59%,88%,31%,70%,"3,569","2,830",39.6,1.0:1,63%,41%
homesteader,67,#287,85,"7,823","$75,366",62%,5%,"$245,867",53%,80%,11%,60%,"3,752","2,319",34.0,1.0:1,55%,41%
idylwylde,68,#265,88,"7,667","$63,029",65%,6%,"$313,409",52%,87%,32%,63%,"1,923","2,898",42.0,1.0:1,65%,30%
inglewood,72,#221,88,"8,256","$50,754",77%,8%,"$297,160",28%,84%,21%,65%,"7,561","4,650",37.7,1.0:1,52%,35%
jackson heights,78,#85,89,"5,642","$115,703",66%,7%,"$326,765",91%,86%,25%,70%,"4,448","3,729",39.7,1.0:1,81%,55%
jamieson place,74,#124,90,"5,724","$109,359",76%,4%,"$343,285",89%,90%,31%,71%,"4,090","3,939",40.7,1.0:1,77%,53%
jasper park,74,#126,88,"7,719","$62,686",75%,5%,"$309,016",54%,86%,24%,76%,"2,138","3,235",39.6,1.0:1,51%,31%
kameyosek,69,#260,85,"7,815","$73,393",59%,6%,"$254,801",56%,79%,22%,60%,"3,176","3,972",36.9,1.1:1,64%,44%
keheewin,73,#157,88,"7,225","$77,452",63%,3%,"$304,425",84%,88%,33%,74%,"2,905","2,309",45.6,1.2:1,72%,39%
kenilworth,70,#235,89,"6,879","$83,485",66%,4%,"$318,766",78%,83%,20%,65%,"2,597","2,244",47.1,1.0:1,68%,35%
kensington,74,#145,86,"7,726","$74,208",68%,6%,"$261,499",75%,76%,12%,56%,"4,126","3,072",45.6,1.1:1,65%,39%
kernohan,79,#81,87,"6,561","$100,954",60%,5%,"$283,538",81%,85%,16%,66%,"3,744","4,063",39.7,1.0:1,69%,42%
kildare,73,#150,85,"8,139","$65,342",63%,8%,"$251,186",63%,78%,13%,73%,"3,067","2,578",44.9,1.1:1,61%,35%
kilkenny,70,#230,86,"7,661","$72,571",63%,6%,"$275,364",61%,77%,12%,63%,"5,963","3,469",36.3,1.0:1,62%,43%
killarney,67,#271,86,"7,913","$64,541",71%,4%,"$279,742",37%,76%,14%,54%,"4,517","3,300",34.1,0.9:1,49%,37%
king edward park,73,#143,89,"6,960","$77,275",80%,6%,"$334,850",54%,85%,30%,65%,"5,398","3,421",35.6,0.9:1,55%,33%
kirkness,63,#299,86,"7,005","$87,594",73%,7%,"$288,058",61%,78%,15%,61%,"4,216","4,510",34.2,1.0:1,61%,48%
la perle,73,#146,87,"7,324","$77,149",70%,5%,"$294,607",68%,84%,20%,68%,"5,852","4,286",36.6,1.0:1,63%,44%
lago lindo,73,#148,88,"5,955","$109,664",67%,6%,"$316,190",87%,85%,19%,70%,"4,600","3,648",38.0,0.9:1,73%,51%
lansdowne,82,#23,102,"2,549","$136,840",74%,3%,"$675,188",64%,91%,54%,70%,"1,233","2,097",42.2,0.9:1,81%,49%
larkspur,71,#180,89,"5,905","$109,983",71%,3%,"$320,500",85%,86%,27%,66%,"5,979","3,605",36.1,0.9:1,79%,54%
lauderdale,71,#214,85,"8,402","$59,797",70%,8%,"$244,170",44%,80%,15%,56%,"3,134","2,381",37.3,0.9:1,60%,37%
laurel,72,#172,89,"6,022","$101,265",77%,6%,"$342,769",76%,87%,36%,69%,"10,585","3,138",31.4,1.0:1,83%,63%
laurier heights,82,#25,102,"2,549","$172,141",69%,3%,"$603,967",86%,91%,51%,63%,"2,913","1,415",50.0,1.1:1,78%,46%
lee ridge,67,#275,85,"8,018","$71,785",61%,6%,"$238,536",63%,82%,21%,57%,"2,970","3,257",35.5,1.0:1,63%,41%
leger,79,#63,94,"4,560","$125,000",63%,4%,"$410,264",83%,91%,48%,76%,"3,273","2,683",41.0,1.1:1,84%,63%
lendrum place,72,#136,92,"6,129","$92,790",67%,2%,"$365,108",77%,92%,43%,72%,"1,901","2,332",44.7,1.0:1,74%,43%
lorelei,69,#249,87,"7,124","$81,799",60%,4%,"$298,173",71%,79%,15%,62%,"4,394","3,654",36.6,1.0:1,68%,47%
lymburn,74,#138,87,"6,648","$94,911",75%,6%,"$298,325",81%,86%,25%,66%,"6,625","4,074",36.7,1.0:1,66%,48%
lynnwood,75,#115,89,"7,070","$71,786",77%,4%,"$344,790",47%,86%,28%,75%,"3,755","3,650",37.5,1.0:1,66%,44%
mactaggart,83,#19,103,"2,549","$183,453",72%,4%,"$645,016",84%,91%,48%,74%,"4,812","1,317",37.6,1.0:1,85%,61%
malmo plains,70,#200,90,"7,125","$70,836",71%,4%,"$342,558",50%,94%,57%,70%,"3,571","3,908",33.3,1.0:1,82%,54%
matt berry,75,#114,90,"5,565","$110,109",70%,4%,"$358,111",89%,81%,18%,69%,"4,410","4,018",38.4,1.0:1,82%,58%
mayfield,74,#149,86,"7,472","$78,004",75%,6%,"$274,594",78%,81%,14%,52%,"2,175","2,497",40.9,1.0:1,56%,33%
mayliewan,77,#80,92,"5,065","$113,721",67%,4%,"$399,443",95%,80%,15%,71%,"4,564","3,864",40.9,0.9:1,81%,58%
mcconachie,70,#222,89,"6,043","$102,435",87%,6%,"$335,606",79%,88%,27%,65%,"6,769","2,283",31.2,1.0:1,70%,51%
mckernan,73,#101,97,"5,576","$75,961",78%,6%,"$495,336",45%,96%,58%,74%,"2,807","3,204",30.1,0.9:1,64%,36%
mcqueen,77,#90,89,"6,251","$93,882",70%,4%,"$347,006",58%,87%,26%,73%,"1,833","2,617",38.5,1.0:1,69%,42%
menisa,71,#207,87,"6,663","$96,122",65%,6%,"$291,722",84%,83%,16%,63%,"2,704","3,120",41.1,1.0:1,71%,43%
meyokumin,73,#163,86,"7,260","$86,636",72%,5%,"$263,275",68%,86%,17%,72%,"3,203","3,178",37.0,1.0:1,68%,46%
meyonohk,71,#217,84,"7,722","$81,823",68%,6%,"$231,113",81%,82%,17%,66%,"3,170","3,600",37.3,1.1:1,67%,44%
montrose,66,#288,85,"8,236","$62,593",70%,7%,"$251,431",58%,76%,13%,48%,"3,276","2,542",38.1,0.9:1,48%,34%
north glenora,75,#108,91,"5,443","$107,737",83%,4%,"$381,361",71%,89%,38%,61%,"2,305","2,582",39.6,1.1:1,67%,40%
northmount,67,#280,86,"7,932","$66,943",61%,6%,"$267,895",78%,76%,14%,54%,"3,516","2,837",47.9,1.1:1,68%,38%
oliver,71,#202,87,"8,053","$67,704",78%,4%,"$251,226",32%,93%,45%,66%,"20,960","12,236",37.6,1.0:1,54%,13%
ormsby place,69,#248,88,"6,411","$93,469",70%,4%,"$330,725",73%,86%,25%,52%,"5,965","4,321",37.0,1.1:1,66%,48%
ottewell,74,#127,89,"6,503","$90,344",71%,7%,"$333,100",81%,86%,26%,70%,"6,365","2,447",43.6,1.1:1,68%,39%
overlanders,64,#295,89,"7,264","$69,492",71%,7%,"$332,357",31%,78%,13%,66%,"3,176","4,086",33.1,1.0:1,50%,40%
parkallen,74,#105,94,"5,602","$90,498",80%,4%,"$433,406",59%,93%,50%,71%,"2,583","3,100",34.4,1.0:1,62%,39%
parkdale,65,#293,84,"8,614","$56,516",69%,8%,"$233,674",50%,75%,19%,60%,"3,958","4,136",38.0,0.9:1,48%,35%
parkview,87,#8,100,"2,614","$141,214",72%,3%,"$562,620",89%,92%,46%,72%,"3,623","2,259",43.8,1.0:1,79%,48%
patricia heights,86,#27,93,"4,526","$121,058",72%,5%,"$430,157",51%,89%,32%,75%,"2,047","2,650",35.2,1.0:1,62%,46%
pleasantview,75,#111,91,"6,275","$88,231",78%,6%,"$367,166",53%,92%,40%,91%,"4,732","3,060",36.1,1.1:1,67%,39%
pollard meadows,71,#212,85,"7,790","$74,228",70%,7%,"$254,188",64%,83%,22%,67%,"4,993","4,640",34.2,1.0:1,68%,48%
prince charles,67,#276,85,"8,018","$71,418",76%,7%,"$240,061",53%,79%,16%,54%,"1,779","2,184",36.6,0.9:1,52%,37%
queen alexandra,69,#247,90,"7,627","$53,856",78%,6%,"$355,046",24%,93%,49%,71%,"5,440","4,389",33.0,0.9:1,52%,23%
queen mary park,67,#279,86,"8,918","$55,514",82%,9%,"$203,682",28%,85%,29%,64%,"8,311","4,394",33.7,0.8:1,52%,30%
rhatigan ridge,88,#10,99,"2,549","$180,283",60%,4%,"$528,071",98%,93%,55%,75%,"3,393","2,604",48.4,1.0:1,88%,52%
richfield,71,#211,87,"7,265","$76,719",64%,5%,"$302,955",49%,81%,25%,59%,"3,843","3,953",33.2,1.1:1,63%,45%
rideau park,71,#192,90,"7,217","$71,570",60%,4%,"$329,245",46%,87%,33%,70%,"2,355","2,767",41.9,1.1:1,72%,37%
rio terrace,82,#45,96,"3,887","$137,692",60%,2%,"$434,276",91%,93%,42%,62%,"1,379","1,692",45.8,0.9:1,79%,46%
ritchie,75,#116,90,"6,823","$75,648",80%,4%,"$356,854",53%,90%,39%,71%,"4,598","3,678",35.6,1.0:1,56%,29%
riverdale,71,#152,95,"5,384","$114,467",73%,3%,"$360,710",72%,93%,46%,72%,"2,199","2,235",43.0,1.1:1,62%,31%
rosslyn,68,#270,85,"7,971","$68,884",68%,8%,"$255,603",63%,79%,14%,55%,"3,376","2,548",44.4,1.1:1,60%,37%
royal gardens,72,#169,87,"7,291","$78,747",72%,5%,"$291,799",52%,87%,36%,71%,"3,805","3,106",35.1,1.0:1,66%,45%
rundle heights,69,#255,86,"8,349","$58,251",59%,8%,"$256,383",46%,75%,13%,70%,"3,699","4,398",33.0,1.0:1,50%,34%
rutherford,73,#133,90,"5,836","$102,744",77%,5%,"$357,619",81%,92%,41%,71%,"12,986","5,845",34.2,1.0:1,76%,55%
sakaw,69,#252,87,"6,932","$88,859",67%,7%,"$291,084",75%,84%,19%,61%,"4,244","3,846",37.4,1.0:1,69%,45%
satoo,73,#171,87,"7,110","$86,670",63%,6%,"$280,037",85%,84%,17%,59%,"3,748","2,805",40.4,0.9:1,69%,42%
secord,74,#122,91,"4,641","$126,140",87%,5%,"$396,630",94%,89%,36%,58%,"4,760","1,474",33.4,1.0:1,78%,58%
sherbrooke,73,#156,86,"7,581","$77,366",75%,7%,"$264,933",55%,80%,17%,71%,"2,571","2,794",37.1,0.9:1,58%,37%
sifton park,73,#213,85,"8,035","$69,224",66%,8%,"$247,121",39%,80%,17%,61%,"2,283","4,731",35.1,0.9:1,59%,41%
skyrattler,67,#284,85,"8,340","$61,052",77%,8%,"$246,022",41%,91%,33%,53%,"2,217","3,579",37.2,1.1:1,63%,33%
spruce avenue,65,#294,86,"8,016","$65,433",70%,7%,"$264,522",43%,87%,23%,61%,"1,865","1,653",37.5,0.9:1,47%,33%
strathcona,76,#92,93,"6,214","$73,650",80%,4%,"$433,198",35%,93%,52%,70%,"9,654","5,178",34.3,0.9:1,57%,26%
strathearn,70,#191,93,"5,940","$80,608",78%,5%,"$435,637",43%,91%,41%,61%,"2,885","3,821",40.1,1.0:1,58%,36%
sweet grass,72,#155,89,"6,763","$85,888",69%,4%,"$322,017",64%,90%,42%,70%,"2,848","3,058",36.9,1.1:1,71%,46%
tamarack,75,#119,90,"5,808","$103,819",79%,6%,"$356,381",80%,90%,34%,75%,"6,194","2,273",31.5,1.0:1,77%,62%
terrace heights,72,#177,90,"7,174","$66,836",75%,5%,"$353,179",46%,85%,22%,63%,"2,467","3,308",41.9,0.9:1,62%,35%
terwillegar towne,77,#78,93,"4,668","$124,317",75%,4%,"$400,990",80%,91%,42%,74%,"6,781","3,783",38.2,1.1:1,76%,57%
the orchards at ellerslie,85,#26,95,"3,227","$142,752",84%,5%,"$487,752",94%,92%,39%,67%,"4,931","1,037",32.1,1.0:1,80%,62%
tipaskan,71,#195,86,"7,627","$74,764",65%,8%,"$270,290",50%,87%,26%,66%,"3,379","4,081",35.1,1.0:1,67%,48%
tweddle place,76,#113,86,"7,325","$81,965",66%,8%,"$275,003",56%,81%,23%,63%,"3,633","3,157",35.4,1.1:1,72%,50%
twin brooks,86,#24,94,"4,111","$132,282",64%,3%,"$431,039",94%,89%,43%,77%,"7,113","2,426",46.9,1.0:1,86%,54%
university of alberta farm,66,#225,98,"5,059","$77,140",83%,3%,"$548,407",20%,89%,39%,37%,165,38,41.4,1.1:1,71%,36%
virginia park,71,#204,89,"7,551","$64,215",65%,8%,"$321,573",49%,86%,32%,65%,728,"1,330",45.3,1.1:1,63%,34%
walker,80,#58,93,"4,394","$119,239",82%,6%,"$452,263",88%,89%,44%,67%,"10,422","3,549",32.3,1.0:1,80%,60%
webber greens,79,#70,92,"4,905","$112,392",81%,4%,"$422,787",77%,88%,31%,64%,"3,653","2,620",34.6,1.0:1,78%,58%
weinlos,70,#246,87,"7,426","$78,912",71%,6%,"$276,077",69%,84%,20%,64%,"3,518","3,879",38.0,1.0:1,71%,47%
wellington,68,#267,85,"7,643","$76,143",70%,6%,"$262,922",68%,80%,15%,54%,"3,534","2,883",36.5,1.0:1,60%,41%
west jasper place,67,#269,89,"7,713","$54,836",73%,7%,"$341,458",33%,79%,16%,60%,"3,583","3,991",39.6,1.0:1,59%,37%
west meadowlark park,72,#183,85,"7,875","$72,193",76%,4%,"$252,974",59%,86%,23%,66%,"3,906","3,457",42.0,1.1:1,62%,41%
westmount,76,#98,91,"6,586","$75,893",81%,5%,"$382,452",55%,91%,40%,68%,"6,621","3,443",37.8,1.0:1,63%,37%
wild rose,69,#239,91,"5,109","$118,926",67%,4%,"$373,372",87%,82%,22%,66%,"8,977","5,418",36.1,1.0:1,84%,62%
windermere,91,#2,99,"2,549","$157,833",83%,4%,"$596,515",86%,93%,46%,76%,"9,171","1,717",32.5,1.0:1,78%,54%
woodcroft,68,#266,87,"7,484","$75,247",71%,4%,"$284,403",66%,87%,29%,54%,"4,048","2,692",42.3,1.2:1,54%,39%
york,70,#241,86,"7,340","$84,519",67%,5%,"$262,882",58%,78%,13%,63%,"4,173","3,550",37.3,1.0:1,62%,39%
